,load_MW,solar_cf,wind_cf
1,43720,0,0.047
2,43321,0,0.057
3,43063,0,0.037
4,43090,0,0.042
5,43487,0,0.017
6,44265,0,0.039
7,45290,0,0.015
8,45948,0,0.033
9,46091,0.022,0.003
10,46179,0.095,0
11,46022,0.166,0
12,45490,0.219,0
13,44601,0.247,0
14,43626,0.246,0.053
15,42758,0.295,0.053
16,42418,0.162,0.061
17,42760,0.286,0.053
18,44644,0.008,0.003
19,46301,0,0
20,46318,0,0.013
21,46024,0,0
22,45465,0,0
23,44237,0,0
24,42920,0,0.017
25,41716,0,0.015
26,40873,0,0.006
27,40494,0,0
28,40464,0,0
29,41043,0,0
30,42195,0,0
31,43825,0,0
32,45320,0,0
33,45846,0.013,0
34,45221,0.06,0
35,43770,0.108,0
36,42067,0.168,0
37,40259,0.254,0
38,38636,0.264,0
39,37482,0.319,0
40,36872,0.51,0.058
41,37107,0.308,0.098
42,38939,0.033,0.043
43,41922,0,0.078
44,42738,0,0.158
45,43192,0,0.267
46,43073,0,0.272
47,42323,0,0.242
48,41408,0,0.271
49,40619,0,0.228
50,40119,0,0.256
51,40081,0,0.278
52,40360,0,0.109
53,40883,0,0.021
54,41950,0,0.033
55,43326,0,0.043
56,44423,0,0.024
57,44372,0.149,0.019
58,42952,0.409,0.019
59,41072,0.586,0
60,39366,0.533,0.018
61,37919,0.633,0.031
62,36711,0.589,0.024
63,35797,0.651,0.066
64,35456,0.524,0.038
65,35675,0.327,0
66,37228,0.046,0.007
67,39566,0,0
68,39954,0,0
69,39877,0,0
70,39377,0,0
71,38152,0,0
72,36837,0,0
73,35937,0,0
74,35623,0,0
75,35671,0,0
76,36214,0,0.02
77,37419,0,0.023
78,39854,0,0.018
79,43216,0,0.024
80,45385,0,0.03
81,45113,0.136,0.046
82,43476,0.389,0.063
83,41932,0.567,0.061
84,40690,0.542,0.064
85,39802,0.63,0.118
86,39262,0.636,0.164
87,38870,0.656,0.291
88,38702,0.453,0.5
89,38653,0.277,0.506
90,39421,0.038,0.576
91,41314,0,0.659
92,41096,0,0.674
93,40443,0,0.732
94,39457,0,0.715
95,37864,0,0.757
96,36100,0,0.761
97,35007,0,0.73
98,34646,0,0.805
99,34691,0,0.772
100,35212,0,0.732
101,36519,0,0.53
102,39074,0,0.289
103,42742,0,0.165
104,44873,0,0.07
105,44600,0,0.044
106,43264,0.008,0.069
107,42035,0.007,0.065
108,40946,0.218,0.043
109,39999,0.175,0.18
110,39399,0.179,0.406
111,38852,0.22,0.629
112,38578,0.131,0.711
113,38655,0.067,0.781
114,39785,0.003,0.776
115,41685,0,0.684
116,41482,0,0.624
117,40826,0,0.588
118,39481,0,0.494
119,37542,0,0.487
120,35430,0,0.39
121,33903,0,0.307
122,32945,0,0.207
123,32458,0,0.164
124,32364,0,0.046
125,33023,0,0
126,34884,0,0
127,37689,0,0
128,39325,0,0
129,39844,0.012,0
130,40495,0.06,0
131,40844,0.106,0
132,41034,0.113,0
133,40812,0.337,0.041
134,40555,0.106,0.081
135,40254,0.453,0.166
136,40319,0.295,0.191
137,41149,0.17,0.363
138,42240,0.023,0.29
139,43296,0,0.419
140,42957,0,0.488
141,42345,0,0.516
142,41175,0,0.452
143,39372,0,0.502
144,37660,0,0.469
145,36613,0,0.486
146,36066,0,0.395
147,35946,0,0.317
148,36289,0,0.146
149,37466,0,0.016
150,39945,0,0.008
151,43601,0,0.059
152,45751,0,0.103
153,45855,0.13,0.064
154,45209,0.379,0.057
155,44440,0.56,0.122
156,43519,0.67,0.12
157,42640,0.722,0.173
158,41870,0.716,0.383
159,41268,0.571,0.357
160,40999,0.518,0.402
161,41346,0.322,0.406
162,42806,0.064,0.453
163,44727,0,0.605
164,44866,0,0.596
165,44576,0,0.727
166,43524,0,0.709
167,41756,0,0.536
168,40085,0,0.379
169,39067,0,0.257
170,38623,0,0.135
171,38634,0,0.069
172,39053,0,0.025
173,40251,0,0
174,42727,0,0
175,46227,0,0
176,48365,0,0
177,48475,0.121,0
178,47720,0.26,0
179,47075,0.302,0
180,46190,0.563,0
181,44802,0.546,0
182,43295,0.598,0.012
183,41986,0.254,0.085
184,41214,0.059,0.041
185,41395,0.031,0.041
186,43214,0.001,0.043
187,45738,0,0.108
188,46169,0,0.159
189,46217,0,0.21
190,45802,0,0.348
191,44850,0,0.585
192,43858,0,0.787
193,43238,0,0.766
194,43080,0,0.763
195,43350,0,0.66
196,43905,0,0.747
197,44793,0,0.511
198,46231,0,0.664
199,48198,0,0.718
200,50038,0,0.728
201,50227,0.124,0.788
202,48817,0.381,0.812
203,47012,0.414,0.824
204,45096,0.394,0.834
205,43294,0.233,0.828
206,41662,0.275,0.808
207,40556,0.35,0.831
208,40130,0.236,0.222
209,40577,0.344,0.438
210,42661,0.079,0.353
211,44974,0,0.333
212,45251,0,0.32
213,45074,0,0.404
214,44399,0,0.173
215,43079,0,0.047
216,41756,0,0.016
217,40636,0,0.045
218,39932,0,0.069
219,39549,0,0.071
220,39529,0,0.059
221,39896,0,0.014
222,40726,0,0.035
223,42026,0,0.049
224,43778,0,0.078
225,45594,0.127,0.019
226,47850,0.383,0.075
227,49711,0.572,0.132
228,51058,0.691,0.106
229,52056,0.656,0.218
230,52324,0.556,0.546
231,52344,0.443,0.784
232,52549,0.444,0.797
233,52920,0.257,0.82
234,54303,0.055,0.834
235,55472,0,0.812
236,55084,0,0.818
237,53950,0,0.824
238,52343,0,0.834
239,50040,0,0.834
240,48057,0,0.822
241,46683,0,0.768
242,46023,0,0.732
243,45773,0,0.795
244,46068,0,0.717
245,47212,0,0.569
246,49563,0,0.226
247,52990,0,0.224
248,55313,0,0.588
249,55798,0.119,0.829
250,55076,0.366,0.826
251,53958,0.554,0.834
252,52530,0.663,0.786
253,50972,0.713,0.7
254,49377,0.708,0.773
255,47864,0.65,0.717
256,46966,0.53,0.82
257,47375,0.342,0.741
258,49491,0.092,0.274
259,52209,0,0.44
260,52695,0,0.411
261,52563,0,0.276
262,51726,0,0.262
263,49879,0,0.23
264,48297,0,0.2
265,47545,0,0.151
266,47504,0,0.138
267,47835,0,0.246
268,48506,0,0.167
269,50017,0,0.105
270,52765,0,0.098
271,56547,0,0.077
272,58598,0,0.03
273,57382,0.147,0.003
274,54460,0.4,0
275,51607,0.577,0
276,49088,0.683,0
277,47155,0.729,0.043
278,45492,0.72,0.157
279,44281,0.659,0.184
280,43887,0.54,0.18
281,44509,0.354,0.184
282,46667,0.105,0.146
283,49074,0,0.167
284,49458,0,0.04
285,49268,0,0.112
286,48338,0,0.05
287,46443,0,0.015
288,44938,0,0.023
289,44196,0,0.051
290,44224,0,0.103
291,44652,0,0.036
292,45573,0,0.034
293,47291,0,0.013
294,50322,0,0.005
295,54283,0,0
296,56376,0,0
297,55038,0.146,0
298,51874,0.402,0
299,48584,0.585,0
300,45831,0.691,0.021
301,43411,0.738,0.092
302,41384,0.727,0.15
303,40052,0.659,0.158
304,39353,0.535,0.164
305,39477,0.35,0.163
306,40834,0.105,0.147
307,43765,0,0.141
308,44447,0,0.146
309,44628,0,0.139
310,43830,0,0.117
311,42235,0,0.145
312,40789,0,0.059
313,39976,0,0.139
314,39756,0,0.084
315,39925,0,0.106
316,40509,0,0.057
317,41800,0,0.064
318,44439,0,0.073
319,48213,0,0.068
320,50235,0,0.084
321,49226,0.148,0.098
322,46980,0.401,0.094
323,44681,0.584,0.1
324,42791,0.692,0.117
325,41334,0.744,0.156
326,40225,0.736,0.194
327,39382,0.669,0.097
328,38871,0.545,0.069
329,38985,0.356,0.069
330,40061,0.108,0.035
331,42384,0,0.017
332,42826,0,0.016
333,42644,0,0.003
334,41931,0,0.038
335,40525,0,0.041
336,39303,0,0.016
337,38635,0,0.028
338,38580,0,0
339,38855,0,0.014
340,39677,0,0
341,41234,0,0
342,44103,0,0.008
343,48013,0,0.013
344,50378,0,0.036
345,49985,0.146,0.079
346,48528,0.391,0.111
347,47179,0.556,0.12
348,45846,0.656,0.072
349,44503,0.586,0.109
350,43272,0.71,0.14
351,42248,0.58,0.171
352,41711,0.53,0.214
353,41838,0.345,0.239
354,43164,0.103,0.202
355,45413,0,0.267
356,45822,0,0.348
357,45940,0,0.359
358,45529,0,0.39
359,44567,0,0.535
360,43440,0,0.662
361,42554,0,0.647
362,42081,0,0.721
363,42017,0,0.759
364,42437,0,0.417
365,43388,0,0.204
366,44917,0,0.224
367,47092,0,0.337
368,48864,0,0.374
369,49163,0,0.41
370,47561,0.005,0.519
371,45277,0.011,0.424
372,42898,0.205,0.438
373,40903,0.163,0.541
374,39068,0.13,0.635
375,37663,0.269,0.773
376,37013,0.111,0.729
377,37148,0.351,0.783
378,38657,0.108,0.758
379,40861,0,0.722
380,41490,0,0.626
381,41631,0,0.494
382,41402,0,0.614
383,40804,0,0.705
384,40076,0,0.674
385,39314,0,0.569
386,39051,0,0.646
387,38943,0,0.569
388,39228,0,0.244
389,39836,0,0.065
390,40750,0,0
391,42207,0,0
392,43730,0,0
393,44210,0.077,0
394,43089,0.227,0
395,41386,0.34,0
396,39675,0.486,0
397,38315,0.6,0
398,37087,0.718,0
399,36219,0.657,0.02
400,35803,0.542,0.079
401,35949,0.358,0.128
402,37314,0.114,0.065
403,39714,0,0.043
404,40306,0,0.03
405,40354,0,0.04
406,40176,0,0.035
407,39227,0,0.07
408,38409,0,0.135
409,37998,0,0.196
410,38047,0,0.236
411,38365,0,0.376
412,39026,0,0.298
413,40358,0,0.205
414,42567,0,0.127
415,45040,0,0.243
416,46606,0,0.356
417,46618,0.136,0.461
418,45486,0.062,0.456
419,44184,0.128,0.461
420,42805,0.259,0.296
421,41382,0.612,0.57
422,39976,0.729,0.701
423,38963,0.665,0.795
424,38528,0.545,0.817
425,38602,0.36,0.822
426,39441,0.119,0.818
427,41178,0,0.828
428,41126,0,0.825
429,40247,0,0.723
430,38774,0,0.716
431,36685,0,0.71
432,34623,0,0.801
433,33031,0,0.805
434,32133,0,0.792
435,31702,0,0.766
436,31675,0,0.412
437,32510,0,0.163
438,34510,0,0.093
439,37627,0,0.04
440,39571,0,0.022
441,40095,0.05,0.032
442,40745,0.165,0.024
443,41421,0.422,0.04
444,41765,0.669,0.066
445,41834,0.722,0.304
446,41867,0.716,0.271
447,41732,0.653,0.25
448,41753,0.533,0.244
449,41950,0.348,0.354
450,42866,0.11,0.33
451,43893,0,0.282
452,43238,0,0.184
453,42152,0,0.081
454,40697,0,0.031
455,38540,0,0.01
456,36556,0,0
457,35153,0,0
458,34490,0,0
459,34180,0,0
460,34376,0,0.013
461,35241,0,0.001
462,37377,0,0
463,40610,0,0
464,42577,0,0
465,43279,0.048,0.042
466,43685,0.163,0.045
467,43827,0.258,0.059
468,43820,0.663,0.055
469,43651,0.719,0.046
470,43075,0.539,0.031
471,42734,0.66,0.014
472,42741,0.543,0.025
473,43261,0.363,0.019
474,44355,0.125,0.74
475,45369,0,0.664
476,44852,0,0.717
477,43890,0,0.716
478,42253,0,0.674
479,39985,0,0.542
480,37726,0,0.394
481,36208,0,0.313
482,35269,0,0.285
483,34848,0,0.162
484,34780,0,0.11
485,35394,0,0.04
486,37229,0,0.017
487,40178,0,0
488,41817,0,0
489,42025,0.132,0
490,41985,0.38,0
491,41752,0.578,0
492,41655,0.699,0
493,41188,0.754,0
494,40908,0.75,0.021
495,40429,0.685,0.059
496,40197,0.565,0.123
497,40446,0.375,0.114
498,41235,0.128,0.141
499,42249,0,0.209
500,41695,0,0.174
501,40785,0,0.206
502,39437,0,0.189
503,37483,0,0.171
504,35518,0,0.128
505,34119,0,0.165
506,33205,0,0.219
507,32808,0,0.212
508,32843,0,0.198
509,33528,0,0.133
510,35312,0,0.042
511,38246,0,0.06
512,40059,0,0.133
513,40506,0.144,0.233
514,40865,0.39,0.299
515,40884,0.567,0.16
516,40898,0.672,0.17
517,40787,0.72,0.093
518,40716,0.714,0.242
519,40579,0.657,0.579
520,40639,0.544,0.59
521,40806,0.365,0.522
522,41171,0.135,0.422
523,41897,0,0.536
524,41269,0,0.414
525,40277,0,0.456
526,39206,0,0.303
527,37685,0,0.392
528,36052,0,0.403
529,34647,0,0.587
530,33673,0,0.493
531,33116,0,0.435
532,32939,0,0.224
533,33155,0,0.055
534,33945,0,0.039
535,35141,0,0.06
536,36536,0,0.074
537,38081,0.143,0.048
538,39379,0.389,0.037
539,40097,0.567,0.069
540,40189,0.68,0.2
541,39956,0.732,0.531
542,39412,0.726,0.718
543,38906,0.666,0.552
544,38691,0.23,0.678
545,38813,0.148,0.821
546,39605,0.045,0.826
547,40458,0,0.826
548,40038,0,0.823
549,39350,0,0.788
550,38382,0,0.82
551,37021,0,0.831
552,35500,0,0.814
553,34159,0,0.621
554,33079,0,0.361
555,32334,0,0.564
556,31978,0,0.217
557,31981,0,0.018
558,32305,0,0
559,33056,0,0
560,34118,0,0
561,35403,0.112,0
562,36846,0.315,0.03
563,37780,0.475,0.211
564,38553,0.455,0.319
565,39070,0.466,0.491
566,39193,0.477,0.455
567,39181,0.53,0.622
568,39159,0.552,0.665
569,39232,0.377,0.805
570,39939,0.141,0.779
571,41132,0,0.765
572,41045,0,0.834
573,40222,0,0.83
574,39038,0,0.831
575,37078,0,0.814
576,35030,0,0.731
577,33406,0,0.685
578,32351,0,0.421
579,31772,0,0.44
580,31701,0,0.216
581,32315,0,0.1
582,34050,0,0.042
583,37002,0,0.045
584,38983,0,0.015
585,39621,0.137,0
586,40119,0.309,0
587,40664,0.562,0
588,41023,0.666,0
589,41099,0.593,0
590,40979,0.71,0.012
591,40665,0.518,0.089
592,40343,0.454,0.068
593,40293,0.299,0.048
594,40480,0.103,0.044
595,41728,0,0.039
596,41410,0,0.032
597,40539,0,0.012
598,39179,0,0.015
599,37158,0,0.003
600,35155,0,0.028
601,33917,0,0.02
602,33269,0,0.022
603,33200,0,0
604,33479,0,0.014
605,34565,0,0
606,36894,0,0
607,40744,0,0.028
608,43078,0,0.069
609,43135,0.064,0.12
610,42442,0.22,0.281
611,41622,0.435,0.206
612,40996,0.448,0
613,40489,0.375,0.201
614,40068,0.354,0.421
615,39760,0.491,0.58
616,39632,0.32,0.243
617,39766,0.208,0.04
618,40317,0.072,0.067
619,42136,0,0.04
620,42182,0,0.221
621,41556,0,0.417
622,40349,0,0.726
623,38442,0,0.523
624,36540,0,0.571
625,35194,0,0.695
626,34479,0,0.66
627,34178,0,0.543
628,34331,0,0.367
629,35272,0,0.354
630,37729,0,0.08
631,41534,0,0.063
632,43965,0,0.415
633,44082,0.155,0.782
634,43530,0.401,0.767
635,42804,0.584,0.759
636,42034,0.698,0.659
637,41195,0.752,0.49
638,40485,0.748,0.804
639,39872,0.689,0.817
640,39581,0.571,0.688
641,39849,0.39,0.774
642,41030,0.154,0.796
643,43646,0,0.822
644,44161,0,0.812
645,44057,0,0.492
646,43262,0,0.404
647,41706,0,0.358
648,40237,0,0.756
649,39500,0,0.646
650,39435,0,0.463
651,39756,0,0.395
652,40439,0,0.586
653,42028,0,0.473
654,45002,0,0.454
655,49300,0,0.165
656,51663,0,0.105
657,51315,0.155,0.228
658,49558,0.393,0.506
659,47431,0.563,0.801
660,45507,0.652,0.805
661,43561,0.692,0.656
662,42159,0.7,0.592
663,41241,0.655,0.233
664,40746,0.55,0.574
665,40828,0.381,0.634
666,41884,0.154,0.35
667,44627,0,0.265
668,45320,0,0.245
669,45110,0,0.598
670,44310,0,0.505
671,42497,0,0.538
672,40779,0,0.779
673,39760,0,0.771
674,39322,0,0.468
675,39319,0,0.547
676,39771,0,0.629
677,41051,0,0.34
678,43481,0,0.446
679,47105,0,0.779
680,48872,0,0.833
681,48172,0.156,0.834
682,46493,0.399,0.823
683,44642,0.577,0.822
684,42813,0.688,0.83
685,41165,0.742,0.718
686,40196,0.738,0.224
687,39388,0.676,0.834
688,38828,0.562,0.834
689,38671,0.387,0.819
690,39295,0.155,0.808
691,40711,0,0.614
692,40563,0,0.752
693,39978,0,0.823
694,39124,0,0.728
695,37742,0,0.774
696,36248,0,0.762
697,34856,0,0.771
698,33865,0,0.663
699,33296,0,0.597
700,33007,0,0.382
701,33125,0,0.575
702,33628,0,0.363
703,34783,0,0.269
704,36099,0,0.456
705,37412,0.153,0.591
706,38536,0.39,0.673
707,39014,0.564,0.685
708,38898,0.671,0.49
709,38506,0.728,0.632
710,37927,0.726,0.456
711,37589,0.669,0.392
712,37537,0.558,0.534
713,37712,0.384,0.682
714,37911,0.154,0.771
715,38875,0,0.802
716,38764,0,0.763
717,37955,0,0.819
718,37061,0,0.803
719,35904,0,0.793
720,34651,0,0.558
721,33499,0,0.776
722,32997,0,0.719
723,32781,0,0.74
724,32893,0,0.504
725,33238,0,0.177
726,34093,0,0.082
727,35567,0,0.103
728,36944,0,0.047
729,38263,0.148,0.017
730,39222,0.385,0
731,39331,0.559,0
732,38914,0.665,0
733,38317,0.716,0
734,37566,0.712,0
735,36990,0.652,0
736,36688,0.541,0
737,36892,0.377,0.55
738,37773,0.153,0.649
739,40048,0,0.634
740,40793,0,0.554
741,40590,0,0.663
742,39881,0,0.695
743,38396,0,0.726
744,36925,0,0.64
745,36055,0,0.549
746,35850,0,0.351
747,36087,0,0.197
